SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
125_pect_phfirst_122813,right,2.4106,y = -2.4106x + 14.2151,2.6328,2.2280,2.4646
125_pect_phfirst_122813,whole,2.4154,y = -2.4154x + 14.8617,2.6260,2.2304,2.4639
129_pect_phfirst_110813,left,2.3841,y = -2.3841x + 13.9852,2.5373,2.1723,2.4075
129_pect_phfirst_110813,right,2.3881,y = -2.3881x + 14.1985,2.6057,2.1371,2.4103
129_pect_phfirst_110813,whole,2.3835,y = -2.3835x + 14.7870,2.5268,2.1524,2.4096
131_pect_phfirst_022415,left,2.4521,y = -2.4521x + 13.9665,2.5658,2.3291,2.4586
131_pect_phfirst_022415,right,2.4786,y = -2.4786x + 14.3091,2.6312,2.3178,2.4947
131_pect_phfirst_022415,whole,2.4672,y = -2.4672x + 14.8449,2.5928,2.3208,2.4844
132_pect_phfirst_022515,left,2.3947,y = -2.3947x + 13.9233,2.4874,2.2581,2.4052
132_pect_phfirst_022515,right,2.4034,y = -2.4034x + 14.4455,2.5973,2.2451,2.4321
132_pect_phfirst_022515,whole,2.3993,y = -2.3993x + 14.9102,2.5581,2.2492,2.4244
134_pect_phfirst_121814,left,2.2637,y = -2.2637x + 13.1493,2.4994,2.0331,2.2719
134_pect_phfirst_121814,right,2.2889,y = -2.2889x + 13.3795,2.4782,2.0316,2.3007
134_pect_phfirst_121814,whole,2.2768,y = -2.2768x + 13.9631,2.4719,2.0285,2.2891
135_pect_phfirst_102413,right,2.3778,y = -2.3778x + 13.5187,2.5165,2.2256,2.4117
135_pect_phfirst_102413,whole,2.3704,y = -2.3704x + 13.9432,2.5700,2.2407,2.3868
137_pect_phfirst_013115,left,2.4012,y = -2.4012x + 14.1490,2.5480,2.2694,2.4112
137_pect_phfirst_013115,right,2.4223,y = -2.4223x + 14.4957,2.6703,2.2451,2.4434
137_pect_phfirst_013115,whole,2.4127,y = -2.4127x + 15.0296,2.6001,2.2518,2.4379
139_pect_phfirst_060513,left,2.3886,y = -2.3886x + 13.9949,2.5492,2.2809,2.4109
139_pect_phfirst_060513,right,2.4272,y = -2.4272x + 14.3801,2.6045,2.2730,2.4570
139_pect_phfirst_060513,whole,2.4115,y = -2.4115x + 14.9000,2.5704,2.2769,2.4368
140_pect_phfirst_051215,left,2.3558,y = -2.3558x + 14.3552,2.6443,2.1298,2.3956
140_pect_phfirst_051215,right,2.3657,y = -2.3657x + 14.5445,2.6492,2.1189,2.4126
140_pect_phfirst_051215,whole,2.3615,y = -2.3615x + 15.1481,2.6304,2.1198,2.4087
141_pect_phfirst_080115,right,2.3660,y = -2.3660x + 13.3540,2.5212,2.2388,2.4021
141_pect_phfirst_080115,whole,2.3566,y = -2.3566x + 13.9158,2.4771,2.2533,2.3882
145_pect_phfirst_100612,left,2.3727,y = -2.3727x + 14.5743,2.5340,2.2397,2.3883
145_pect_phfirst_100612,right,2.3913,y = -2.3913x + 14.9445,2.6447,2.2062,2.4247
145_pect_phfirst_100612,whole,2.3836,y = -2.3836x + 15.4695,2.6190,2.2204,2.4078
146_pect_phfirst_091813,left,2.3182,y = -2.3182x + 14.1272,2.5332,2.1579,2.3153
